?complex    ?complexName                                                           ?complexLocation          ?reactomeID               ?protein
Complex75   p-2S-SMAD2/3:SMAD4:PARP1                                               nucleoplasm               Reactome DB_ID: 2187322   Complex50
Complex75   p-2S-SMAD2/3:SMAD4:PARP1                                               nucleoplasm               Reactome DB_ID: 2187322   Protein134
Complex76   PAR-SMAD2/3:PAR-SMAD4                                                  nucleoplasm               Reactome DB_ID: 2187328   Protein135
Complex76   PAR-SMAD2/3:PAR-SMAD4                                                  nucleoplasm               Reactome DB_ID: 2187328   Protein137
Complex77   p-2S-SMAD2/3:SMAD4:PPM1A                                               nucleoplasm               Reactome DB_ID: 2187392   Complex50
Complex77   p-2S-SMAD2/3:SMAD4:PPM1A                                               nucleoplasm               Reactome DB_ID: 2187392   Protein138
Complex8    TGFB1:TGFBR2:TGFBR1                                                    plasma membrane           Reactome DB_ID: 170840    Complex7
Complex8    TGFB1:TGFBR2:TGFBR1                                                    plasma membrane           Reactome DB_ID: 170840    Complex4
Complex8    TGFB1:TGFBR2:TGFBR1                                                    plasma membrane           Reactome DB_ID: 170840    Complex3
Complex9    TGFB1:TGFBR2:p-TGFBR1                                                  plasma membrane           Reactome DB_ID: 170841    Complex10
Complex9    TGFB1:TGFBR2:p-TGFBR1                                                  plasma membrane           Reactome DB_ID: 170841    Complex4
Complex9    TGFB1:TGFBR2:p-TGFBR1                                                  plasma membrane           Reactome DB_ID: 170841    Complex3

